"line_size" "n" "get_order_1" "get_order_2"
8 200 0.005 0.006
8 500 0.014 0.016
8 1000 0.031 0.035
8 5000 0.198 0.201
8 10000 0.41 0.435
8 50000 2.602 2.418
8 100000 5.672 5.056
8 200000 11.9 10.404
8 500000 33.935 28.243
8 800000 55.653 45.457
8 1000000 71.356 59.642
8 200 0.005 0.006
8 500 0.014 0.016
8 1000 0.029 0.033
8 5000 0.195 0.193
8 10000 0.397 0.416
8 50000 2.516 2.322
8 100000 5.489 4.851
8 200000 11.829 10.65
8 500000 35.779 32.103
8 800000 61.527 48.398
8 1000000 78.606 63.577
8 200 0.005 0.006
8 500 0.014 0.017
8 1000 0.03 0.035
8 5000 0.288 0.201
8 10000 0.412 0.426
8 50000 2.685 2.554
8 100000 5.846 5.171
8 200000 12.027 10.597
8 500000 33.516 28.367
8 800000 55.398 45.224
8 1000000 70.521 57.935
8 200 0.005 0.006
8 500 0.014 0.016
8 1000 0.029 0.033
8 5000 0.19 0.193
8 10000 0.393 0.423
8 50000 2.526 2.343
8 100000 5.544 4.898
8 200000 12.197 10.298
8 500000 32.924 28.75
8 800000 58.056 47.224
8 1000000 72.835 59.073
8 200 0.005 0.006
8 500 0.014 0.016
8 1000 0.029 0.033
8 5000 0.19 0.194
8 10000 0.394 0.413
8 50000 2.517 2.351
8 100000 5.448 4.911
8 200000 11.675 10.296
8 500000 36.685 27.842
8 800000 54.702 45.043
8 1000000 70.076 58.832
8 200 0.005 0.006
8 500 0.014 0.015
8 1000 0.029 0.033
8 5000 0.19 0.194
8 10000 0.394 0.419
8 50000 2.554 2.323
8 100000 5.455 4.874
8 200000 11.817 10.195
8 500000 32.505 28.503
8 800000 55.315 45.727
8 1000000 71.664 57.969
16 200 0.006 0.006
16 500 0.014 0.016
16 1000 0.029 0.033
16 5000 0.19 0.196
16 10000 0.394 0.413
16 50000 2.605 2.365
16 100000 5.574 4.965
16 200000 12.425 10.334
16 500000 36.275 28.219
16 800000 63.183 45.918
16 1000000 82.325 59.515
16 200 0.025 0.006
16 500 0.014 0.015
16 1000 0.028 0.032
16 5000 0.188 0.192
16 10000 0.39 0.402
16 50000 2.554 2.349
16 100000 5.508 4.873
16 200000 11.601 10.056
16 500000 34.729 27.247
